0,parsed_contacts
http://0-9.ru,"{'phones': [], 'emails': [], 'addresses': [], 'social_links': [], 'map_links': [], 'other_contacts': {}}"
http://0009.ru,"{'phones': ['84994262506', '89686027429'], 'emails': [], 'addresses': [], 'social_links': [], 'map_links': [], 'other_contacts': {}}"
http://001k.ru,
http://003ms.ru,"{'phones': ['+74999990301', '+79370093003'], 'emails': [], 'addresses': [], 'social_links': ['https://www.instagram.com/', 'https://t.me/', 'https://vk.com/'], 'map_links': [], 'other_contacts': {}}"
http://003rt.ru,"{'phones': [], 'emails': [], 'addresses': [], 'social_links': [], 'map_links': [], 'other_contacts': {}}"
http://004.ru,"{'phones': ['+78005000452', '(918)0131004', '(999)63-99-004'], 'emails': [], 'addresses': [], 'social_links': ['https://instagram.com/username', 'https://t.me/username', 'https://vk.com/username'], 'map_links': [], 'other_contacts': {}}"
http://004sosh.siteedu.ru,
http://005mebel.ru,
http://009.рф/about,"{'phones': ['+79234770033'], 'emails': [], 'addresses': [], 'social_links': ['mailto:direktor@cfk.ooo', 'mailto:komdir@cfk.ooo', 'mailto:manager@cfk.ooo', 'mailto:manager4@cfk.ooo'], 'map_links': [], 'other_contacts': {}}"
http://009.рф/contacts,
http://01-36.ru,"{'phones': ['+74732471111', '+74732610700', '+74732372207', '+74732430327', '+74732700262'], 'emails': [], 'addresses': [], 'social_links': [], 'map_links': [], 'other_contacts': {}}"
http://01-klinika-21.ru,"{'phones': [], 'emails': [], 'addresses': [], 'social_links': [], 'map_links': [], 'other_contacts': {}}"
http://01-region.ru,"{'phones': ['+79528190301'], 'emails': [], 'addresses': ['Майкоп, Жуковского, 19'], 'social_links': [], 'map_links': [], 'other_contacts': {}}"
http://01-serv.ru,"{'phones': ['+74732232349', '+74732235676'], 'emails': [], 'addresses': [], 'social_links': ['https://vk.com/01-SERVIS', 'https://twitter.com/01-SERVIS', 'https://ok.ru/01-SERVIS', 'mailto:info@01-SERVIS.com'], 'map_links': [], 'other_contacts': {}}"
http://01.fsin.gov.ru,
http://01.fsin.su,
http://01.gbmse.ru,
http://01.gibdd.ru,
http://01.mvd.ru,
http://01.rospotrebnadzor.ru,
http://01.мвд.рф,
http://012.ru,
http://01bit.ru,"{'phones': ['+79057277520'], 'emails': [], 'addresses': [], 'social_links': [], 'map_links': [], 'other_contacts': {}}"
http://01cafe.restoran.ru,"{'phones': ['+79265240119'], 'emails': [], 'addresses': ['ул. Чаянова, д. 11/2'], 'social_links': [], 'map_links': ['https://yandex.ru/maps/org/123'], 'other_contacts': {}}"
http://01group-kem.ru,"{'phones': ['+79236184401', '+73842670001'], 'emails': ['01groupp.kem@mail.ru'], 'addresses': ['г. Кемерово, ул. Николая Островского, д. 15, офис 408/1'], 'social_links': [], 'map_links': [], 'other_contacts': {}}"
http://01outdoor.ru,"{'phones': ['+78002348784'], 'emails': [], 'addresses': [], 'social_links': [], 'map_links': [], 'other_contacts': {}}"
http://01pmsspb.ru,"{'phones': ['+79119181553', '+79119181553'], 'emails': [], 'addresses': [], 'social_links': [], 'map_links': [], 'other_contacts': {}}"
http://01rb.ru,"{'phones': ['+7601467', '+789021660129'], 'emails': ['ao0301@mail.ru'], 'addresses': ['Москва, ул. Ботаническая, 37А(ТД Авторай 2-й этаж)'], 'social_links': [], 'map_links': []}"
http://01reg.roszdravnadzor.ru,
http://01region01.ru,"{'phones': ['+79537333475'], 'emails': ['01region06@mail.ru'], 'addresses': ['385631, Республика Адыгея, Гиагинский р-н, п. Гончарка, Почтовая 2И'], 'social_links': [], 'map_links': [], 'other_contacts': {}}"
http://01rf.ru,"{'phones': ['+73432127151'], 'emails': [], 'addresses': [], 'social_links': [], 'map_links': [], 'other_contacts': {}}"
http://01rus.ru,"{'phones': ['+78772210000', '+78772210021'], 'emails': [], 'addresses': ['г. Майкоп, ул. Курганная, 314, 2 этаж'], 'social_links': [], 'map_links': [], 'other_contacts': {}}"
http://01servis.ru,
http://01sfera.ru,"{'phones': [], 'emails': [], 'addresses': [], 'social_links': [], 'map_links': [], 'other_contacts': {}}"
http://01sovet.ru,
http://01travel.ru,"{'phones': ['+79284646420'], 'emails': ['01reg360@gmail.com'], 'addresses': ['Республика Адыгея, Майкопский район, пос. Каменномостский, ул. Безымянная, 14'], 'social_links': ['https://instagram.com/', 'https://www.youtube.com/', 'https://www.google.com/', 'https://t.me/', 'https://vk.com/'], 'map_links': [], 'other_contacts': {}}"
http://0-1.ru,
http://0-16.рф,
http://0-9.ru,"{'phones': [], 'emails': [], 'addresses': [], 'social_links': ['https://rucenter.domains/', 'https://rucenter.domains/'], 'map_links': [], 'other_contacts': {}}"
http://0-cenka.ru,"{'phones': ['+78126480033', '+79210900033'], 'emails': ['ilove@nolcenka.ru'], 'addresses': [], 'social_links': ['https://www.facebook.com/', 'https://www.instagram.com/', 'https://t.me/', 'https://vk.com/', 'https://ok.ru/'], 'map_links': ['https://yandex.ru/maps/org/1057812998077/', 'https://google.com/maps/@7804326326,'], 'other_contacts': {}}"
http://0-plus.ru,"{'phones': [], 'emails': [], 'addresses': [], 'social_links': [], 'map_links': [], 'other_contacts': {}}"
http://00-23.ru,"{'phones': ['+79217588879', '+78122090060'], 'emails': ['info@00-23.ru'], 'addresses': [{'country': 'Россия', 'city': 'Санкт-Петербург', 'street': 'Дальневосточный проспект', 'house': '14'}, {'country': 'Россия', 'city': 'Санкт-Петербург', 'street': 'ул. Коммуны', 'house': '67'}], 'social_links': [], 'map_links': ['https://yandex.ru/maps/org/123'], 'other_contacts': {}}"
http://0009.ru,
http://0012.ru,"{'phones': ['+74950331081', '+78007001081', '+78122481081'], 'emails': ['info@timeweb.ru'], 'addresses': [], 'social_links': [], 'map_links': [], 'other_contacts': {}}"
http://001k.ru,"{'phones': ['+78442530707', '89616596011'], 'emails': [], 'addresses': [], 'social_links': ['http://mashkov-house.ru', 'http://bs34.ru', 'http://domstroy34.ru', 'http://www.tigerltd.ru', 'http://www.dair-ltd.ru'], 'map_links': [], 'other_contacts': {}}"
http://001pk.ru,
http://001ru.ru,"{'phones': ['+74993904705', '+79168818893', '+79152337275'], 'emails': ['contact@001ru.ru'], 'addresses': [], 'social_links': [], 'map_links': [], 'other_contacts': {}}"
http://001spb.edusite.ru,
http://0027.kontur-partner.ru,"{'phones': ['+73439351020'], 'emails': [], 'addresses': ['Каменск-Уральский'], 'social_links': [], 'map_links': [], 'other_contacts': {}}"
http://003-stom.ru,"{'phones': ['+78123181141', '+78122092972', '+78122863329', '+79522863329', '+79500190677'], 'emails': [], 'addresses': ['г. Кудрово, Европейский пр-т, д.14 корп.4', 'г. СПб, Невский р-н, Товарищеский пр-т,д. 24 А (в здании поликлиники № 94), ст.м. ""Улица Дыбенко""'], 'social_links': [], 'map_links': [], 'other_contacts': {}}"
http://003ms.ru,"{'phones': ['+74999990301'], 'emails': [], 'addresses': [], 'social_links': ['https://www.instagram.com/', 'https://t.me/', 'https://vk.com/', 'https://www.whatsapp.com/'], 'map_links': ['https://yandex.ru/maps/org/123', 'https://google.com/maps/place/']}"
http://003rt.ru,"{'phones': [], 'emails': [], 'addresses': [], 'social_links': [], 'map_links': [], 'other_contacts': {}}"
http://004.ru,"{'phones': ['+78005000452', '+78639963990', '+78639963991', '+78639963992', '+78639963993', '+78639963994', '+78639963995', '+78639963996', '+78639963997', '+78639963998', '+78639963999'], 'emails': [], 'addresses': [], 'social_links': [], 'map_links': [], 'other_contacts': {}}"
http://004sosh.siteedu.ru,
http://0055.ru,"{'phones': [], 'emails': [], 'addresses': [], 'social_links': [], 'map_links': [], 'other_contacts': {}}"
http://005mebel.ru,
http://007.help,
